5	0.03	0.02
10	0.03	0.02
15	0.02	0.02
20	0.02	0.02
25	0.02	0.02
30	0.02	0.02
35	0.02	0.02
40	0.02	0.02
45	0.02	0.02
50	0.03	0.02
55	0.03	0.02
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.02
85	0.03	0.02
90	0.03	0.02
95	0.03	0.03
100	0.03	0.02
105	0.03	0.02
110	0.03	0.02
115	0.03	0.03
120	0.03	0.02
125	0.03	0.03
130	0.03	0.03
135	0.04	0.03
140	0.04	0.03
145	0.04	0.04
150	0.04	0.03
155	0.04	0.04
160	0.04	0.04
165	0.05	0.04
170	0.05	0.04
175	0.05	0.04
180	0.05	0.04
185	0.05	0.04
190	0.05	0.05
195	0.06	0.05
200	0.06	0.05
205	0.07	0.05
210	0.07	0.06
215	0.07	0.06
220	0.07	0.06
225	0.08	0.07
230	0.08	0.06
235	0.09	0.08
240	0.09	0.08
245	0.10	0.08
250	0.09	0.08
255	0.11	0.10
260	0.11	0.09
265	0.12	0.10
270	0.12	0.10
275	0.13	0.11
280	0.13	0.11
285	0.14	0.12
290	0.14	0.12
295	0.16	0.14
300	0.16	0.14
305	0.17	0.16
310	0.17	0.14
315	0.19	0.16
320	0.18	0.16
325	0.20	0.17
330	0.20	0.18
335	0.23	0.20
340	0.23	0.19
345	0.26	0.21
350	0.25	0.21
355	0.28	0.24
360	0.27	0.23
365	0.30	0.25
370	0.30	0.26
375	0.32	0.28
380	0.32	0.27
385	0.35	0.30
390	0.35	0.30
395	0.38	0.33
400	0.37	0.33
5	0.03	0.02
10	0.02	0.02
15	0.02	0.02
20	0.02	0.02
25	0.02	0.02
30	0.02	0.02
35	0.02	0.02
40	0.02	0.02
45	0.02	0.02
50	0.02	0.02
55	0.03	0.01
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.02
85	0.03	0.02
90	0.03	0.02
95	0.03	0.02
100	0.03	0.02
105	0.03	0.02
110	0.03	0.02
115	0.03	0.03
120	0.03	0.02
125	0.04	0.03
130	0.04	0.03
135	0.04	0.03
140	0.04	0.03
145	0.04	0.03
150	0.04	0.03
155	0.04	0.04
160	0.04	0.04
165	0.05	0.04
170	0.05	0.04
175	0.05	0.04
180	0.05	0.04
185	0.06	0.05
190	0.06	0.05
195	0.06	0.06
200	0.06	0.05
205	0.07	0.05
210	0.07	0.06
215	0.08	0.07
220	0.08	0.06
225	0.09	0.07
230	0.09	0.07
235	0.10	0.09
240	0.10	0.08
245	0.10	0.09
250	0.10	0.09
255	0.12	0.10
260	0.11	0.10
265	0.12	0.11
270	0.12	0.11
275	0.14	0.12
280	0.13	0.11
285	0.15	0.13
290	0.15	0.13
295	0.17	0.14
300	0.16	0.14
305	0.17	0.15
310	0.17	0.15
315	0.19	0.17
320	0.18	0.15
325	0.21	0.18
330	0.23	0.19
335	0.26	0.23
340	0.24	0.20
345	0.27	0.23
350	0.26	0.22
355	0.30	0.25
360	0.30	0.25
365	0.32	0.28
370	0.31	0.26
375	0.34	0.30
380	0.33	0.28
385	0.36	0.30
390	0.36	0.30
395	0.37	0.31
400	0.38	0.32
5	0.02	0.02
10	0.03	0.02
15	0.03	0.02
20	0.03	0.02
25	0.03	0.02
30	0.03	0.02
35	0.03	0.02
40	0.03	0.02
45	0.03	0.02
50	0.03	0.02
55	0.03	0.02
60	0.03	0.02
65	0.03	0.02
70	0.03	0.02
75	0.03	0.02
80	0.03	0.02
85	0.03	0.02
90	0.03	0.03
95	0.03	0.03
100	0.03	0.02
105	0.03	0.02
110	0.03	0.02
115	0.04	0.03
120	0.04	0.02
125	0.04	0.03
130	0.04	0.03
135	0.04	0.03
140	0.04	0.03
145	0.05	0.04
150	0.05	0.03
155	0.05	0.04
160	0.05	0.04
165	0.05	0.04
170	0.05	0.04
175	0.05	0.05
180	0.05	0.04
185	0.06	0.04
190	0.06	0.05
195	0.06	0.05
200	0.07	0.06
205	0.07	0.06
210	0.07	0.07
215	0.08	0.06
220	0.08	0.06
225	0.08	0.07
230	0.08	0.07
235	0.09	0.08
240	0.10	0.08
245	0.10	0.09
250	0.10	0.08
255	0.11	0.10
260	0.11	0.09
265	0.13	0.11
270	0.13	0.11
275	0.13	0.12
280	0.14	0.12
285	0.15	0.13
290	0.14	0.12
295	0.17	0.15
300	0.16	0.15
305	0.18	0.16
310	0.18	0.15
315	0.19	0.16
320	0.18	0.15
325	0.20	0.17
330	0.21	0.18
335	0.24	0.21
340	0.24	0.21
345	0.27	0.23
350	0.26	0.22
355	0.29	0.26
360	0.28	0.24
365	0.32	0.27
370	0.30	0.26
375	0.34	0.28
380	0.34	0.28
385	0.37	0.32
390	0.36	0.31
395	0.38	0.31
400	0.37	0.31
